iteration, time, numNodes, f, descent norm (L2), descent norm (L1), descent norm (L∞), max curvature
82, 192, 881, 18.6679, 0.0798136, 2.22476, 0.0174128, 13.7637
83, 195, 881, 18.6456, 0.083565, 2.2082, 0.0264357, 14.9177
84, 193, 882, 18.5975, 0.0933043, 2.33988, 0.0239174, 14.7234
85, 201, 883, 18.5996, 0.093616, 2.33095, 0.0218263, 14.6929
86, 212, 881, 18.5567, 0.0732124, 2.11332, 0.0127498, 14.9836
87, 189, 880, 18.4748, 0.0859513, 2.22066, 0.0193872, 14.1716
88, 191, 877, 18.4562, 0.0816482, 2.11231, 0.0210248, 13.8815
89, 193, 879, 18.4768, 0.0763994, 2.02803, 0.016277, 14.5256
90, 208, 879, 18.478, 0.0883549, 2.27116, 0.020874, 13.454
91, 192, 882, 18.4504, 0.0693598, 1.99753, 0.0185244, 13.8291
92, 196, 888, 18.4575, 0.0902263, 2.29296, 0.0207306, 13.9585
93, 189, 891, 18.398, 0.0783814, 2.24607, 0.0122072, 14.3322
94, 193, 891, 18.3492, 0.0925752, 2.51649, 0.0183603, 14.7189
95, 196, 893, 18.3427, 0.0905313, 2.42959, 0.0201253, 16.3739
96, 188, 897, 18.2077, 0.0881116, 2.39538, 0.0192527, 15.2295
97, 194, 896, 18.1241, 0.0803121, 2.281, 0.0172209, 14.5731
98, 188, 902, 18.1183, 0.0899139, 2.36988, 0.0199124, 15.027
99, 197, 904, 18.0509, 0.100814, 2.5699, 0.0236213, 14.1607
100, 205, 907, 18.0431, 0.0967404, 2.64365, 0.0221592, 14.651
